"ID","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","subscribed"
21,58,"management","married","tertiary","no",657,"no","no","cellular",25,"aug",378,3,-1,0,"unknown","no"
22,40,"technician","married","secondary","no",2266,"no","no","cellular",16,"oct",447,1,147,5,"failure","yes"
23,43,"technician","married","tertiary","no",0,"no","no","cellular",22,"aug",78,2,-1,0,"unknown","no"
24,32,"management","single","tertiary","no",1962,"no","no","cellular",13,"jan",130,1,-1,0,"unknown","no"
25,31,"admin.","single","secondary","no",1588,"yes","no","unknown",3,"jun",14,1,-1,0,"unknown","no"
26,52,"housemaid","married","primary","no",618,"yes","yes","cellular",10,"aug",352,2,102,2,"failure","no"
27,51,"admin.","married","tertiary","no",1463,"yes","no","telephone",23,"jul",185,1,-1,0,"unknown","no"
28,43,"unemployed","divorced","secondary","no",1854,"no","no","cellular",13,"nov",131,2,197,1,"success","no"
29,30,"technician","single","tertiary","no",2784,"no","no","cellular",20,"nov",808,3,-1,0,"unknown","no"
30,36,"technician","single","secondary","no",265,"yes","yes","cellular",2,"feb",88,1,273,1,"failure","no"
31,32,"admin.","married","secondary","no",203,"yes","yes","cellular",7,"may",219,2,-1,0,"unknown","no"
32,37,"blue-collar","married","secondary","no",1736,"no","yes","unknown",18,"jun",66,1,-1,0,"unknown","no"
33,66,"management","married","unknown","no",2149,"yes","no","cellular",26,"may",135,2,90,11,"success","yes"
34,41,"self-employed","married","tertiary","no",231,"no","no","cellular",7,"aug",352,2,-1,0,"unknown","yes"
35,32,"technician","single","secondary","no",5600,"yes","no","cellular",21,"nov",77,1,-1,0,"unknown","no"
36,31,"blue-collar","married","secondary","no",5345,"yes","no","cellular",18,"nov",260,1,-1,0,"unknown","no"
37,59,"blue-collar","married","unknown","no",139,"no","no","unknown",5,"jun",153,1,-1,0,"unknown","no"
38,30,"entrepreneur","married","secondary","no",12737,"no","yes","cellular",19,"nov",589,2,-1,0,"unknown","yes"
39,28,"services","single","secondary","no",651,"no","yes","cellular",23,"jul",158,2,-1,0,"unknown","no"
40,51,"admin.","divorced","secondary","no",2195,"yes","no","unknown",13,"may",59,1,-1,0,"unknown","no"
41,30,"student","single","tertiary","no",2030,"yes","no","unknown",28,"may",27,2,-1,0,"unknown","no"
42,42,"management","married","tertiary","no",27696,"no","no","cellular",11,"aug",370,1,91,7,"success","yes"
43,50,"blue-collar","divorced","primary","no",388,"no","no","cellular",5,"feb",701,1,-1,0,"unknown","no"
44,47,"student","single","unknown","no",107,"no","no","telephone",15,"jul",119,8,-1,0,"unknown","no"
45,51,"management","married","tertiary","no",994,"no","no","cellular",3,"sep",268,1,98,3,"failure","no"
46,43,"admin.","married","secondary","no",0,"no","no","cellular",31,"jul",408,8,-1,0,"unknown","no"
47,27,"admin.","married","secondary","no",186,"yes","no","unknown",27,"may",136,2,-1,0,"unknown","no"
48,42,"technician","single","secondary","no",-853,"yes","no","cellular",11,"may",189,1,-1,0,"unknown","no"
49,60,"housemaid","divorced","secondary","no",2063,"no","no","cellular",27,"may",95,1,99,2,"failure","no"
50,38,"technician","single","tertiary","no",25,"yes","no","cellular",1,"jun",232,2,-1,0,"unknown","yes"
51,52,"services","married","secondary","no",0,"yes","no","unknown",20,"may",363,5,-1,0,"unknown","no"
52,51,"services","married","primary","no",8806,"yes","no","unknown",19,"may",131,1,-1,0,"unknown","no"
53,26,"services","single","tertiary","no",0,"no","yes","telephone",1,"jul",261,4,-1,0,"unknown","yes"
54,35,"blue-collar","married","primary","no",-167,"yes","no","cellular",15,"may",195,3,359,1,"failure","no"
55,37,"management","divorced","tertiary","no",896,"no","yes","cellular",14,"aug",343,2,-1,0,"unknown","no"
56,26,"services","single","secondary","no",81,"yes","no","cellular",28,"jul",63,2,-1,0,"unknown","no"
57,32,"technician","single","tertiary","no",930,"no","no","cellular",27,"aug",85,7,-1,0,"unknown","no"
58,51,"services","married","secondary","no",2085,"yes","no","unknown",19,"may",70,1,-1,0,"unknown","no"
59,39,"technician","married","secondary","no",0,"no","no","cellular",6,"aug",84,4,-1,0,"unknown","no"
60,37,"blue-collar","married","primary","no",1160,"yes","no","unknown",9,"may",255,2,-1,0,"unknown","no"
61,34,"technician","single","secondary","no",2729,"yes","no","cellular",6,"apr",945,1,139,1,"success","no"
62,41,"blue-collar","single","primary","no",74,"no","no","unknown",9,"jul",193,4,-1,0,"unknown","no"
63,57,"unknown","single","secondary","no",316,"no","no","unknown",20,"jun",8,7,-1,0,"unknown","no"
64,41,"blue-collar","married","secondary","no",2067,"yes","no","unknown",20,"jun",120,4,-1,0,"unknown","no"
65,34,"management","married","tertiary","no",1666,"no","no","cellular",11,"aug",36,4,-1,0,"unknown","no"
66,38,"technician","married","secondary","no",634,"no","no","unknown",19,"jun",211,2,-1,0,"unknown","no"
67,51,"management","married","tertiary","no",941,"yes","yes","cellular",18,"jul",252,6,-1,0,"unknown","no"
68,29,"management","single","tertiary","no",475,"no","no","cellular",29,"jan",346,2,-1,0,"unknown","no"
69,37,"technician","divorced","secondary","no",1559,"yes","no","cellular",20,"nov",178,2,170,8,"other","no"
70,44,"management","divorced","tertiary","no",213,"yes","no","cellular",20,"apr",65,2,-1,0,"unknown","no"
71,34,"management","single","tertiary","no",1336,"no","no","cellular",22,"aug",217,6,-1,0,"unknown","no"
72,49,"admin.","single","tertiary","no",228,"yes","no","cellular",2,"mar",368,1,-1,0,"unknown","yes"
73,38,"admin.","married","secondary","no",0,"no","no","telephone",17,"nov",599,2,158,8,"other","no"
74,34,"admin.","married","tertiary","no",35,"yes","no","cellular",15,"oct",76,1,69,2,"failure","no"
75,48,"blue-collar","married","primary","no",237,"yes","no","unknown",19,"jun",18,18,-1,0,"unknown","no"
76,26,"student","single","unknown","no",198,"no","no","cellular",5,"feb",161,1,-1,0,"unknown","no"
77,46,"management","married","tertiary","no",1103,"yes","no","cellular",8,"aug",209,3,-1,0,"unknown","no"
78,45,"blue-collar","married","secondary","no",-221,"yes","yes","unknown",3,"jun",170,1,-1,0,"unknown","no"
79,60,"management","married","primary","no",4895,"no","no","unknown",9,"jun",313,1,-1,0,"unknown","no"
80,34,"blue-collar","married","secondary","no",516,"yes","yes","unknown",2,"jun",26,1,-1,0,"unknown","no"
81,47,"blue-collar","single","secondary","no",57,"yes","no","cellular",18,"may",72,3,369,4,"failure","no"
82,35,"management","married","tertiary","no",8,"no","no","cellular",23,"apr",93,3,-1,0,"unknown","yes"
83,45,"unknown","married","primary","no",586,"yes","no","telephone",21,"jul",90,3,-1,0,"unknown","no"
84,48,"self-employed","divorced","secondary","yes",7,"no","no","unknown",20,"jun",633,2,-1,0,"unknown","no"
85,47,"blue-collar","married","primary","yes",0,"no","no","unknown",5,"jun",148,2,-1,0,"unknown","no"
86,34,"management","married","secondary","no",293,"yes","no","unknown",21,"may",162,3,-1,0,"unknown","no"
87,39,"blue-collar","married","secondary","no",123,"no","no","unknown",17,"jun",110,1,-1,0,"unknown","no"
88,45,"services","married","secondary","no",567,"yes","no","telephone",14,"aug",234,3,-1,0,"unknown","no"
89,29,"technician","single","secondary","no",1331,"yes","yes","cellular",14,"may",246,1,-1,0,"unknown","no"
90,36,"blue-collar","married","primary","no",0,"yes","no","unknown",6,"jun",246,4,-1,0,"unknown","no"
91,39,"blue-collar","married","primary","no",499,"yes","no","cellular",13,"may",156,1,-1,0,"unknown","no"
92,56,"technician","single","tertiary","no",917,"no","no","unknown",9,"jun",306,1,-1,0,"unknown","no"
93,34,"technician","married","tertiary","no",1524,"yes","no","cellular",16,"apr",399,1,-1,0,"unknown","no"
94,42,"management","married","primary","no",-679,"yes","yes","cellular",6,"may",159,1,343,2,"failure","no"
95,31,"management","single","tertiary","no",115,"no","no","cellular",17,"mar",187,1,-1,0,"unknown","yes"
96,39,"entrepreneur","married","tertiary","yes",-172,"yes","no","cellular",15,"may",562,2,-1,0,"unknown","yes"
97,54,"management","married","tertiary","no",0,"yes","no","cellular",10,"jul",144,1,-1,0,"unknown","no"
98,49,"entrepreneur","single","secondary","no",5802,"no","no","cellular",12,"aug",175,3,104,2,"success","no"
99,49,"admin.","married","secondary","no",0,"no","no","cellular",1,"jun",1460,1,-1,0,"unknown","yes"
100,23,"blue-collar","single","secondary","no",5145,"yes","no","unknown",30,"may",229,3,-1,0,"unknown","no"
101,42,"admin.","married","secondary","no",3165,"yes","no","unknown",16,"jun",298,4,-1,0,"unknown","no"
102,46,"blue-collar","married","primary","no",2558,"yes","no","telephone",20,"nov",107,1,167,1,"other","no"
103,32,"services","single","secondary","no",545,"yes","no","cellular",19,"nov",194,1,-1,0,"unknown","no"
104,42,"self-employed","married","secondary","no",5564,"no","no","cellular",17,"nov",560,2,-1,0,"unknown","no"
105,46,"management","divorced","secondary","no",177,"no","no","cellular",20,"aug",84,2,-1,0,"unknown","no"
106,58,"management","married","tertiary","no",256,"no","no","cellular",14,"jun",508,1,186,4,"success","no"
107,48,"admin.","married","secondary","no",113,"yes","yes","cellular",9,"jul",532,1,-1,0,"unknown","no"
108,34,"blue-collar","married","primary","no",329,"yes","no","cellular",17,"apr",952,1,343,1,"failure","yes"
109,39,"services","married","secondary","no",1438,"yes","no","unknown",20,"may",212,2,-1,0,"unknown","no"
110,40,"admin.","single","secondary","no",1670,"yes","no","unknown",18,"jun",161,2,-1,0,"unknown","no"
111,28,"blue-collar","single","secondary","no",339,"yes","no","cellular",10,"jul",353,1,-1,0,"unknown","no"
112,37,"blue-collar","married","primary","no",287,"yes","no","telephone",20,"apr",73,3,325,3,"failure","no"
113,44,"services","married","secondary","no",-230,"yes","yes","unknown",27,"may",99,1,-1,0,"unknown","no"
114,51,"blue-collar","married","primary","no",-101,"yes","yes","unknown",30,"jun",60,3,-1,0,"unknown","no"
115,28,"blue-collar","married","secondary","no",131,"yes","no","unknown",12,"may",147,5,-1,0,"unknown","no"
116,31,"blue-collar","married","secondary","no",113,"yes","no","cellular",5,"may",337,3,-1,0,"unknown","no"
117,36,"technician","divorced","secondary","no",409,"yes","no","unknown",20,"may",25,1,-1,0,"unknown","no"
118,35,"admin.","married","secondary","no",165,"yes","no","unknown",18,"jun",272,1,-1,0,"unknown","no"
119,74,"retired","divorced","primary","no",29080,"no","no","cellular",30,"jun",301,5,93,4,"other","yes"
120,33,"technician","married","secondary","no",430,"no","no","cellular",25,"aug",250,2,-1,0,"unknown","no"
121,50,"technician","married","secondary","no",1088,"yes","no","unknown",20,"jun",179,21,-1,0,"unknown","no"
122,52,"technician","married","tertiary","no",2557,"no","no","cellular",28,"jan",134,5,204,2,"success","yes"
123,41,"blue-collar","married","secondary","no",580,"yes","no","cellular",14,"may",874,1,363,1,"failure","yes"
124,34,"technician","single","secondary","no",-329,"yes","no","unknown",27,"may",280,1,-1,0,"unknown","no"
125,44,"services","married","secondary","no",300,"yes","no","cellular",7,"jul",182,3,-1,0,"unknown","no"
126,31,"management","married","tertiary","yes",-253,"no","no","cellular",12,"aug",220,4,-1,0,"unknown","no"
127,43,"blue-collar","single","primary","no",30,"yes","no","unknown",30,"may",379,17,-1,0,"unknown","no"
128,32,"blue-collar","married","secondary","no",298,"yes","no","cellular",17,"apr",163,2,323,7,"failure","no"
129,45,"technician","married","secondary","no",1348,"no","yes","cellular",1,"apr",358,2,-1,0,"unknown","yes"
130,34,"technician","married","secondary","no",580,"yes","no","cellular",15,"may",88,1,-1,0,"unknown","no"
131,30,"technician","single","secondary","no",163,"yes","no","cellular",17,"nov",72,3,-1,0,"unknown","no"
132,36,"self-employed","single","tertiary","no",3560,"no","no","cellular",18,"nov",658,3,169,2,"failure","no"
133,40,"services","married","secondary","no",438,"yes","no","telephone",14,"may",276,1,-1,0,"unknown","no"
134,29,"blue-collar","married","secondary","no",8,"yes","yes","cellular",10,"jul",627,1,-1,0,"unknown","yes"
135,44,"admin.","married","secondary","no",14,"no","yes","unknown",30,"may",827,5,-1,0,"unknown","no"
136,45,"blue-collar","married","primary","no",147,"no","no","cellular",14,"aug",109,3,-1,0,"unknown","no"
137,30,"services","single","tertiary","no",717,"yes","yes","cellular",15,"may",116,1,-1,0,"unknown","no"
138,53,"entrepreneur","married","tertiary","no",0,"no","no","cellular",20,"nov",520,2,-1,0,"unknown","no"
139,24,"technician","single","tertiary","no",1954,"yes","yes","unknown",27,"may",78,1,-1,0,"unknown","no"
140,55,"services","married","unknown","no",1210,"yes","no","unknown",30,"may",868,1,-1,0,"unknown","no"
141,59,"technician","married","secondary","no",259,"no","no","cellular",18,"mar",224,1,-1,0,"unknown","yes"
142,44,"admin.","divorced","secondary","no",776,"yes","no","unknown",3,"jun",150,1,-1,0,"unknown","no"
143,44,"unemployed","divorced","secondary","no",2108,"yes","no","cellular",13,"may",152,2,369,1,"other","no"
144,36,"blue-collar","single","primary","no",851,"yes","no","unknown",28,"may",168,1,-1,0,"unknown","no"
145,63,"unknown","married","secondary","no",367,"no","no","telephone",4,"mar",262,1,178,6,"failure","no"
146,28,"services","single","secondary","no",0,"no","yes","cellular",16,"jul",133,1,-1,0,"unknown","no"
147,25,"technician","single","secondary","no",1847,"no","no","cellular",26,"may",137,2,-1,0,"unknown","no"
148,42,"management","married","tertiary","no",2110,"no","yes","cellular",31,"jul",106,2,-1,0,"unknown","no"
149,47,"technician","married","secondary","no",0,"yes","no","cellular",30,"apr",81,1,164,1,"failure","no"
150,51,"blue-collar","single","secondary","no",708,"yes","no","telephone",14,"may",391,1,364,1,"failure","no"
151,38,"housemaid","divorced","primary","no",359,"no","no","unknown",9,"jun",242,4,-1,0,"unknown","no"
152,75,"retired","married","tertiary","no",2991,"no","no","cellular",22,"apr",240,1,-1,0,"unknown","yes"
153,48,"management","married","primary","no",2537,"no","no","cellular",26,"aug",219,6,-1,0,"unknown","no"
154,36,"technician","single","secondary","no",4136,"yes","no","unknown",30,"may",812,3,-1,0,"unknown","yes"
155,35,"technician","single","tertiary","no",296,"no","no","cellular",22,"aug",91,2,-1,0,"unknown","no"
156,38,"entrepreneur","married","secondary","no",593,"yes","yes","cellular",24,"jul",1484,24,-1,0,"unknown","yes"
157,36,"technician","married","secondary","no",-393,"no","no","telephone",14,"aug",119,4,-1,0,"unknown","no"
158,44,"housemaid","married","primary","no",398,"no","no","cellular",7,"jul",187,3,-1,0,"unknown","no"
159,48,"blue-collar","married","primary","no",916,"no","no","unknown",12,"jun",37,3,-1,0,"unknown","no"
160,28,"technician","single","secondary","no",213,"yes","no","unknown",19,"may",267,1,-1,0,"unknown","no"
161,49,"blue-collar","married","secondary","no",171,"no","no","cellular",4,"feb",19,3,175,2,"other","no"
162,51,"housemaid","married","secondary","no",3984,"no","no","unknown",20,"jun",7,12,-1,0,"unknown","no"
163,37,"management","married","secondary","no",121,"no","yes","cellular",17,"nov",211,2,151,2,"failure","no"
164,32,"blue-collar","single","secondary","no",322,"yes","no","cellular",13,"may",233,3,-1,0,"unknown","no"
165,46,"housemaid","married","primary","no",304,"no","no","cellular",22,"aug",166,5,-1,0,"unknown","no"
166,68,"retired","married","primary","no",0,"no","no","telephone",15,"jan",814,1,-1,0,"unknown","no"
167,53,"management","single","tertiary","no",720,"yes","no","unknown",17,"nov",99,1,-1,0,"unknown","no"
168,26,"management","married","tertiary","no",52,"no","yes","telephone",12,"nov",238,1,-1,0,"unknown","no"
169,33,"blue-collar","married","secondary","no",5,"yes","no","unknown",26,"may",175,2,-1,0,"unknown","no"
170,37,"management","single","tertiary","no",614,"yes","no","unknown",30,"may",371,2,-1,0,"unknown","no"
171,45,"technician","married","secondary","no",1003,"yes","no","unknown",4,"jun",71,1,-1,0,"unknown","no"
172,54,"technician","married","secondary","no",273,"yes","no","cellular",30,"jul",55,3,-1,0,"unknown","no"
173,32,"blue-collar","single","secondary","no",-204,"yes","yes","unknown",26,"may",202,2,-1,0,"unknown","no"
174,46,"blue-collar","divorced","secondary","no",931,"no","yes","cellular",20,"nov",90,2,-1,0,"unknown","no"
175,35,"management","single","tertiary","no",1228,"no","no","cellular",9,"nov",696,2,88,12,"failure","yes"
176,26,"entrepreneur","married","tertiary","yes",144,"no","yes","cellular",25,"jul",730,1,-1,0,"unknown","no"
177,58,"self-employed","married","tertiary","no",6237,"yes","no","cellular",20,"nov",88,2,-1,0,"unknown","no"
178,36,"blue-collar","married","secondary","no",199,"yes","no","cellular",9,"jul",183,1,-1,0,"unknown","no"
179,56,"housemaid","married","secondary","no",559,"no","no","cellular",29,"jul",69,5,-1,0,"unknown","no"
180,25,"admin.","single","secondary","no",304,"no","no","unknown",16,"may",523,3,-1,0,"unknown","no"
181,34,"entrepreneur","single","tertiary","yes",1709,"no","yes","cellular",18,"nov",288,1,-1,0,"unknown","no"
182,26,"unemployed","single","secondary","no",461,"no","no","cellular",28,"jan",214,1,-1,0,"unknown","no"
183,42,"housemaid","married","primary","no",145,"no","no","cellular",20,"aug",252,2,-1,0,"unknown","no"
184,38,"management","married","tertiary","no",881,"no","yes","unknown",6,"jun",79,2,-1,0,"unknown","no"
185,44,"technician","married","secondary","no",306,"yes","no","cellular",28,"jan",374,1,-1,0,"unknown","no"
186,39,"technician","single","unknown","no",45248,"yes","no","unknown",6,"may",1623,1,-1,0,"unknown","yes"
187,57,"management","married","primary","no",772,"yes","no","telephone",8,"sep",201,1,292,1,"failure","no"
188,57,"management","divorced","tertiary","no",-676,"yes","yes","cellular",29,"jan",100,2,247,1,"failure","no"
189,57,"management","married","tertiary","no",1341,"yes","no","unknown",8,"may",339,2,-1,0,"unknown","no"
190,28,"admin.","single","secondary","no",-181,"yes","yes","cellular",7,"may",429,2,343,4,"failure","no"
191,33,"services","married","secondary","no",0,"yes","no","unknown",5,"may",54,1,-1,0,"unknown","no"
192,54,"management","married","primary","no",621,"no","yes","cellular",9,"jul",180,1,-1,0,"unknown","no"
193,34,"services","single","secondary","no",544,"yes","no","unknown",27,"may",257,2,-1,0,"unknown","no"
194,27,"services","married","secondary","no",834,"no","no","cellular",29,"jan",265,2,-1,0,"unknown","no"
195,30,"self-employed","married","tertiary","no",163,"yes","no","cellular",18,"may",149,1,362,8,"other","no"
196,23,"admin.","single","secondary","no",0,"yes","no","cellular",17,"apr",171,2,-1,0,"unknown","no"
197,38,"housemaid","divorced","tertiary","no",4312,"no","no","cellular",21,"nov",407,4,182,2,"other","no"
198,26,"student","single","unknown","no",2020,"no","no","telephone",28,"jan",42,3,-1,0,"unknown","no"
199,34,"unknown","married","secondary","no",1434,"no","no","cellular",21,"nov",50,2,-1,0,"unknown","no"
200,37,"management","married","tertiary","no",3723,"no","no","cellular",22,"may",354,1,-1,0,"unknown","yes"
201,29,"admin.","married","tertiary","no",167,"yes","yes","cellular",13,"oct",357,2,237,2,"failure","no"
202,40,"services","married","tertiary","no",35,"no","no","cellular",3,"jul",318,4,317,3,"failure","no"
203,49,"admin.","divorced","secondary","no",-73,"yes","no","cellular",30,"jul",31,22,-1,0,"unknown","no"
204,32,"management","single","tertiary","no",9317,"no","no","cellular",2,"nov",92,3,-1,0,"unknown","no"
205,55,"retired","divorced","primary","no",53,"yes","no","unknown",29,"may",84,2,-1,0,"unknown","no"
206,30,"management","single","tertiary","no",147,"no","no","cellular",1,"jun",153,1,-1,0,"unknown","no"
207,47,"management","divorced","tertiary","no",34,"yes","no","unknown",7,"may",104,1,-1,0,"unknown","no"
208,44,"blue-collar","married","primary","no",271,"yes","yes","unknown",9,"may",94,1,-1,0,"unknown","no"
209,57,"management","married","tertiary","no",337,"no","no","cellular",5,"feb",59,2,-1,0,"unknown","no"
210,32,"technician","married","secondary","no",212,"yes","no","cellular",11,"aug",98,2,-1,0,"unknown","no"
211,56,"blue-collar","married","secondary","no",3460,"yes","no","cellular",3,"jul",897,3,-1,0,"unknown","no"
212,48,"management","divorced","tertiary","no",5978,"no","no","cellular",28,"jan",58,1,-1,0,"unknown","no"
213,35,"blue-collar","married","primary","no",4924,"no","no","unknown",16,"jun",252,2,-1,0,"unknown","no"
214,53,"retired","divorced","secondary","no",-172,"yes","yes","cellular",17,"apr",66,1,-1,0,"unknown","no"
215,40,"technician","married","secondary","no",232,"no","no","cellular",29,"jan",366,1,-1,0,"unknown","no"
216,47,"services","married","secondary","no",2,"no","no","cellular",24,"jul",237,2,-1,0,"unknown","no"
217,26,"technician","married","secondary","no",523,"no","no","cellular",4,"jun",221,1,126,1,"failure","no"
218,34,"student","single","unknown","no",5827,"no","no","cellular",17,"nov",97,2,-1,0,"unknown","no"
219,60,"retired","married","primary","no",22018,"no","no","unknown",6,"jun",177,2,-1,0,"unknown","no"
220,49,"self-employed","married","tertiary","no",7254,"no","no","cellular",29,"jul",132,4,-1,0,"unknown","no"
221,34,"technician","single","secondary","no",486,"yes","no","unknown",27,"may",185,1,-1,0,"unknown","no"
222,24,"management","single","tertiary","no",3197,"no","no","cellular",22,"may",172,1,-1,0,"unknown","no"
223,51,"management","married","tertiary","no",346,"no","no","cellular",12,"feb",122,1,92,5,"success","yes"
224,60,"admin.","divorced","secondary","no",92,"yes","no","unknown",5,"may",130,1,-1,0,"unknown","no"
225,39,"housemaid","married","tertiary","no",93,"no","no","cellular",14,"oct",595,2,-1,0,"unknown","no"
226,32,"technician","single","secondary","no",-122,"yes","yes","cellular",31,"jul",55,17,-1,0,"unknown","no"
227,51,"housemaid","married","primary","no",1337,"no","no","telephone",30,"jul",74,6,-1,0,"unknown","no"
228,24,"services","single","secondary","no",638,"yes","yes","cellular",7,"may",792,3,-1,0,"unknown","yes"
229,36,"admin.","married","secondary","no",788,"yes","no","cellular",6,"may",403,1,345,1,"failure","no"
230,34,"services","married","secondary","no",-333,"yes","no","cellular",11,"may",218,4,285,5,"failure","no"
231,34,"blue-collar","single","secondary","no",47,"yes","no","cellular",18,"nov",810,2,-1,0,"unknown","no"
232,28,"management","single","tertiary","no",390,"no","no","cellular",29,"sep",845,1,232,4,"success","yes"
233,54,"management","divorced","secondary","no",300,"yes","no","cellular",20,"nov",562,2,-1,0,"unknown","yes"
234,52,"blue-collar","married","primary","no",66653,"no","no","cellular",14,"aug",109,3,-1,0,"unknown","no"
235,35,"technician","married","secondary","no",-67,"yes","no","cellular",17,"jul",160,6,-1,0,"unknown","no"
236,33,"blue-collar","married","primary","no",217,"yes","no","cellular",20,"apr",198,1,339,3,"failure","no"
237,35,"technician","married","secondary","no",-78,"no","no","cellular",28,"aug",102,13,-1,0,"unknown","no"
238,34,"management","single","tertiary","no",11350,"yes","no","cellular",20,"nov",159,1,-1,0,"unknown","no"
239,21,"blue-collar","single","secondary","yes",-59,"yes","yes","unknown",4,"jun",83,1,-1,0,"unknown","no"
240,35,"management","married","tertiary","no",552,"yes","yes","cellular",18,"jul",222,1,-1,0,"unknown","no"
241,44,"management","married","tertiary","no",3762,"no","no","cellular",28,"aug",125,12,-1,0,"unknown","no"
242,45,"blue-collar","married","secondary","no",115,"no","no","cellular",11,"aug",209,4,-1,0,"unknown","no"
243,60,"management","divorced","secondary","no",0,"no","no","cellular",5,"aug",603,3,-1,0,"unknown","yes"
244,56,"technician","divorced","unknown","no",56,"yes","no","unknown",5,"may",439,1,-1,0,"unknown","no"
245,59,"retired","married","unknown","no",0,"no","no","cellular",25,"aug",213,4,-1,0,"unknown","no"
246,39,"management","married","tertiary","no",839,"no","yes","cellular",11,"oct",365,2,774,11,"failure","no"
247,57,"retired","married","primary","no",4908,"no","no","cellular",30,"jan",868,1,-1,0,"unknown","no"
248,45,"technician","single","secondary","no",-55,"no","no","cellular",16,"jul",124,1,-1,0,"unknown","no"
249,37,"management","married","tertiary","no",5065,"no","no","cellular",27,"aug",23,19,-1,0,"unknown","no"
250,37,"blue-collar","married","primary","no",1455,"yes","no","unknown",21,"may",165,2,-1,0,"unknown","no"
251,46,"services","divorced","secondary","no",0,"no","no","cellular",17,"nov",407,1,150,3,"success","no"
252,27,"blue-collar","single","secondary","no",240,"yes","no","cellular",18,"may",166,4,-1,0,"unknown","no"
253,52,"management","married","primary","no",798,"yes","no","unknown",30,"jun",123,2,-1,0,"unknown","no"
254,47,"technician","divorced","secondary","no",1194,"yes","yes","cellular",30,"jan",113,3,-1,0,"unknown","no"
255,22,"services","single","secondary","no",236,"yes","no","cellular",18,"may",236,2,-1,0,"unknown","no"
256,41,"blue-collar","married","primary","no",54,"yes","no","cellular",10,"jul",121,1,-1,0,"unknown","no"
257,40,"services","divorced","secondary","no",209,"yes","no","cellular",12,"may",302,2,344,3,"other","no"
258,41,"technician","married","secondary","no",130,"no","no","unknown",17,"jun",160,3,-1,0,"unknown","no"
259,33,"management","single","tertiary","no",21096,"yes","no","unknown",2,"jun",144,2,-1,0,"unknown","no"
260,52,"blue-collar","married","secondary","no",1500,"no","yes","unknown",20,"jun",109,3,-1,0,"unknown","no"
261,37,"management","single","tertiary","no",4543,"yes","no","cellular",8,"may",137,1,340,5,"failure","no"
262,30,"technician","married","secondary","no",27,"yes","no","cellular",19,"aug",163,2,-1,0,"unknown","no"
263,31,"management","single","tertiary","no",0,"no","no","cellular",28,"aug",35,31,-1,0,"unknown","no"
264,52,"technician","married","secondary","no",136,"no","no","cellular",28,"aug",88,5,-1,0,"unknown","no"
265,52,"self-employed","married","secondary","no",-488,"yes","no","unknown",29,"may",322,1,-1,0,"unknown","no"
266,41,"admin.","married","secondary","no",920,"yes","yes","unknown",27,"may",239,1,-1,0,"unknown","no"
267,33,"blue-collar","single","secondary","no",16649,"yes","no","cellular",5,"feb",173,1,-1,0,"unknown","no"
268,30,"management","single","tertiary","no",147,"no","no","cellular",9,"sep",234,1,100,1,"failure","yes"
269,41,"management","married","tertiary","no",3016,"yes","no","cellular",14,"jul",80,3,-1,0,"unknown","no"
